year,DATE,real_PCI
1959,1/1/1959,11811
1960,1/1/1960,11878
1961,1/1/1961,12096
1962,1/1/1962,12482
1963,1/1/1963,12765
1964,1/1/1964,13484
1965,1/1/1965,14143
1966,1/1/1966,14725
1967,1/1/1967,15198
1968,1/1/1968,15729
1969,1/1/1969,16100
1970,1/1/1970,16642
1971,1/1/1971,17190
1972,1/1/1972,17820
1973,1/1/1973,18722
1974,1/1/1974,18345
1975,1/1/1975,18615
1976,1/1/1976,19003
1977,1/1/1977,19402
1978,1/1/1978,20081
1979,1/1/1979,20250
1980,1/1/1980,20155
1981,1/1/1981,20454
1982,1/1/1982,20686
1983,1/1/1983,21214
1984,1/1/1984,22479
1985,1/1/1985,22961
1986,1/1/1986,23632
1987,1/1/1987,23929
1988,1/1/1988,24825
1989,1/1/1989,25340
1990,1/1/1990,25556
1991,1/1/1991,25394
1992,1/1/1992,26134
1993,1/1/1993,26217
1994,1/1/1994,26610
1995,1/1/1995,27180
1996,1/1/1996,27718
1997,1/1/1997,28396
1998,1/1/1998,29723
1999,1/1/1999,30351
2000,1/1/2000,31523
2001,1/1/2001,32075
2002,1/1/2002,32754
2003,1/1/2003,33345
2004,1/1/2004,34224
2005,1/1/2005,34428
2006,1/1/2006,35461
2007,1/1/2007,35870
2008,1/1/2008,36082
2009,1/1/2009,35620
2010,1/1/2010,35684
2011,1/1/2011,36299
2012,1/1/2012,37164
2013,1/1/2013,36388
2014,1/1/2014,37373
2015,1/1/2015,38368
